央视卫视,#genre#
CCTV1,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV2,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV3,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV4,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV6,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV7,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV8,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV9,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV10,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV11,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV12,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV13,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV15,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV17,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CCTV4K,http://iptv.tvfix.org/hls/cctv4k.m3u8
CCTV1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233151/index.m3u8
CCTV2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233071/index.m3u8
CCTV3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231682/index.m3u8
CCTV1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233151/index.m3u8
CCTV2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233071/index.m3u8
CCTV4,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231615/index.m3u8
CCTV6,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231724/index.m3u8
CCTV7,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231633/index.m3u8
CCTV8,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231694/index.m3u8
CCTV9,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231697/index.m3u8
CCTV10,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231666/index.m3u8
CCTV11,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231711/index.m3u8
CCTV12,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231660/index.m3u8
CCTV13,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231636/index.m3u8
CCTV15,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231693/index.m3u8
CCTV17,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231772/index.m3u8
CCTV4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233400/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233350/index.m3u8
CCTV13,http://39.134.65.175/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.183/PLTV/88888888/224/3221225812/1.m3u8
CCTV1,http://117.148.130.102/PLTV/88888888/224/3221233151/index.m3u8
CCTV2,http://117.148.130.102/PLTV/88888888/224/3221233071/index.m3u8
CCTV3,http://117.148.130.102/PLTV/88888888/224/3221231682/index.m3u8
CCTV4,http://117.148.130.102/PLTV/88888888/224/3221231615/index.m3u8
CCTV6,http://117.148.130.102/PLTV/88888888/224/3221231724/index.m3u8
CCTV7,http://117.148.130.102/PLTV/88888888/224/3221231633/index.m3u8
CCTV8,http://117.148.130.102/PLTV/88888888/224/3221231694/index.m3u8
CCTV9,http://117.148.130.102/PLTV/88888888/224/3221231697/index.m3u8
CCTV10,http://117.148.130.102/PLTV/88888888/224/3221231666/index.m3u8
CCTV11,http://117.148.130.102/PLTV/88888888/224/3221231711/index.m3u8
CCTV12,http://117.148.130.102/PLTV/88888888/224/3221231660/index.m3u8
CCTV13,http://117.148.130.102/PLTV/88888888/224/3221231636/index.m3u8
CCTV15,http://117.148.130.102/PLTV/88888888/224/3221231693/index.m3u8
CCTV17,http://117.148.130.102/PLTV/88888888/224/3221231772/index.m3u8
CCTV4K,http://117.148.130.102/PLTV/88888888/224/3221233400/index.m3u8
